"Module","LUTs","FFs","DSPs","BRAMs","Status"
"alu","36","9","0","0","ok"
"fault_injector","8","0","0","0","ok"
"majority_voter","13","0","0","0","ok"
"penta_voter","24","0","0","0","ok"
"risk_estimator","27","33","0","0","ok"
"redundancy_controller","2","3","0","0","ok"
"alu_array","1152","288","0","0","ok"
"alu_array_tmr","1152","288","0","0","ok"
"top_dmr","54","9","0","0","ok"
"top_tmr","87","9","0","0","ok"
"top_adaptive","173","44","0","0","ok"
"top_module","N/A","N/A","N/A","N/A","failed: INFO: [Common 17-349] Got license for feature 'Synthesis' and/or device 'xc7a35t' || INFO: [Synth 8-7079] Multithreading enabled for synth_design using a maximum of 2 processes. || INFO: [Synth 8-7078] Launching helper process for spawning children vivado processes || INFO: [Synth 8-7075] Helper process launched with PID 1732"
